# Creator : Routino - http://www.routino.org/
# Source : Based on OpenStreetMap data from http://www.openstreetmap.org/
# License : http://www.openstreetmap.org/copyright
#
#Latitude	Longitude	Section 	Section 	Total   	Total   	Point	Turn	Bearing	Highway
#        	         	Distance	Duration	Distance	Duration	Type 	    	       	       
 48.213916	  16.330816	 0.000 km	 0.0 min	  0.0 km	   0 min	Waypt#1		 +0	(null)
 48.214097	  16.330836	 0.020 km	 0.1 min	  0.0 km	   0 min	Junct	 +2	 +2	(null)
 48.214221	  16.331612	 0.058 km	 0.2 min	  0.1 km	   0 min	Junct	 +2	 -4	(null)
 48.212325	  16.331279	 0.209 km	 0.6 min	  0.3 km	   1 min	Junct	 +0	 -4	(null)
 48.211712	  16.331168	 0.068 km	 0.2 min	  0.4 km	   1 min	Junct	 -1	 +2	(null)
 48.210750	  16.338719	 0.564 km	 1.7 min	  0.9 km	   3 min	Junct	 +1	 +3	(null)
 48.210631	  16.338881	 0.017 km	 0.1 min	  0.9 km	   3 min	Junct	 +1	 -4	(null)
 48.209707	  16.338774	 0.102 km	 0.3 min	  1.0 km	   3 min	Junct	 -1	 +2	(null)
 48.209634	  16.339272	 0.039 km	 0.1 min	  1.1 km	   3 min	Junct	 +0	 +2	(null)
 48.209519	  16.339881	 0.046 km	 0.1 min	  1.1 km	   3 min	Junct	 +0	 +2	(null)
 48.209335	  16.341408	 0.114 km	 0.3 min	  1.2 km	   4 min	Junct	 +0	 +2	(null)
 48.209260	  16.341928	 0.041 km	 0.1 min	  1.3 km	   4 min	Junct	 +0	 +2	(null)
 48.208992	  16.343850	 0.145 km	 0.4 min	  1.4 km	   4 min	Junct	 +0	 +2	(null)
 48.208892	  16.344407	 0.041 km	 0.1 min	  1.5 km	   4 min	Junct	 +0	 +2	(null)
 48.208805	  16.344890	 0.039 km	 0.1 min	  1.5 km	   4 min	Junct	 +2	 -4	(null)
 48.208629	  16.344902	 0.019 km	 0.1 min	  1.5 km	   5 min	Junct	 -1	 +2	(null)
 48.208658	  16.345734	 0.061 km	 0.2 min	  1.6 km	   5 min	Junct	 -1	 +0	(null)
 48.207938	  16.349040	 0.269 km	 0.8 min	  1.9 km	   6 min	Junct	 +0	 +2	(null)
 48.208121	  16.350900	 0.138 km	 0.4 min	  2.0 km	   6 min	Junct	 +0	 +2	(null)
 48.208172	  16.351485	 0.042 km	 0.1 min	  2.0 km	   6 min	Junct	 +0	 +2	(null)
 48.208274	  16.352526	 0.074 km	 0.2 min	  2.1 km	   6 min	Junct	 +0	 +2	(null)
 48.208563	  16.354972	 0.183 km	 0.5 min	  2.3 km	   7 min	Junct	 +2	 -4	(null)
 48.206911	  16.355597	 0.186 km	 0.6 min	  2.5 km	   7 min	Junct	 +0	 +3	(null)
 48.206795	  16.355714	 0.015 km	 0.0 min	  2.5 km	   7 min	Junct	 -1	 +1	(null)
 48.206836	  16.355855	 0.011 km	 0.0 min	  2.5 km	   7 min	Junct	 +0	 +1	(null)
 48.207145	  16.357218	 0.108 km	 0.3 min	  2.6 km	   8 min	Junct	 +0	 +2	(null)
 48.207198	  16.357401	 0.014 km	 0.0 min	  2.6 km	   8 min	Junct	 +0	 +0	(null)
 48.207417	  16.357344	 0.024 km	 0.1 min	  2.6 km	   8 min	Junct	 +2	 +2	(null)
 48.207202	  16.359443	 0.154 km	 0.5 min	  2.8 km	   8 min	Junct	 +2	 -4	(null)
 48.207000	  16.359372	 0.023 km	 0.1 min	  2.8 km	   8 min	Junct	 +0	 -4	(null)
 48.206877	  16.359328	 0.014 km	 0.0 min	  2.8 km	   8 min	Junct	 -1	 +3	(null)
 48.206484	  16.359935	 0.061 km	 0.2 min	  2.9 km	   9 min	Junct	 +0	 +3	(null)
 48.206376	  16.360188	 0.022 km	 0.1 min	  2.9 km	   9 min	Junct	 +0	 +3	(null)
